cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cluster_idx
204,195,178,11,273,68,49,626,123,212,21
144,774,420,183,202,88,524,513,57,336,48
389,27,500,136,209,42,263,445,285,343,74
56,149,385,33,442,23,547,63,252,179,32
28,115,17,181,409,64,76,509,59,94,56
51,465,115,28,246,107,400,449,30,96,18
294,349,468,38,145,100,63,503,138,172,52
150,807,416,104,93,115,361,377,251,154,5
51,465,115,28,257,107,400,588,30,96,18
281,750,78,252,224,73,425,251,157,337,35
37,432,392,140,183,48,487,149,12,286,39
82,642,303,157,337,16,468,256,275,98,86
41,231,42,225,124,80,241,537,97,238,37
88,448,483,123,62,22,274,204,289,395,23
195,197,372,190,90,102,222,317,233,63,94
155,359,37,24,462,111,239,143,271,312,55
213,612,269,90,239,33,308,127,175,20,38
347,231,42,225,124,80,241,537,97,238,37
39,321,353,191,152,54,108,490,108,100,33
299,351,520,8,377,83,512,320,266,69,75
185,564,320,233,380,69,5,466,190,237,20
351,690,290,143,404,83,269,517,142,29,64
39,321,353,228,152,54,333,81,133,100,33
328,747,66,213,481,32,391,377,24,223,12
82,74,424,12,337,16,468,256,275,98,86
384,27,525,228,209,42,263,445,285,343,74
9,603,209,133,418,64,145,46,72,350,71
195,197,372,190,90,102,222,317,233,403,94
430,232,582,22,150,101,487,554,75,146,77
10,657,170,7,335,11,41,541,184,250,42
276,190,212,230,241,13,546,389,16,157,84
64,176,480,252,88,43,551,550,190,91,85
59,364,450,249,112,73,274,438,189,134,41
416,60,392,140,264,48,487,149,12,286,39
284,492,546,205,243,23,513,300,33,177,40
430,232,338,22,449,101,487,554,75,146,77
168,392,537,209,80,16,528,274,263,148,95
406,143,55,55,82,1,273,64,33,8,51
406,330,323,239,324,77,148,582,121,151,57
299,351,495,8,377,83,512,320,56,69,75
195,197,372,190,90,102,222,317,233,324,94
407,114,522,77,216,111,101,557,237,123,34
28,735,262,162,134,103,170,194,11,95,66
389,239,78,209,386,84,119,110,152,369,27
320,775,507,120,304,19,424,144,134,312,15
168,648,2,112,182,94,404,571,178,229,97
191,421,521,3,319,30,334,387,182,124,4
39,321,353,191,152,67,333,490,133,100,33
383,58,0,59,395,42,444,372,279,356,90
291,156,426,6,296,35,195,555,9,31,70
382,59,543,177,128,56,198,449,259,293,29
276,466,175,230,241,13,443,389,16,157,84
316,635,63,6,173,16,525,92,293,409,30
351,775,532,143,0,83,269,517,142,14,64
191,421,521,3,431,30,152,387,182,124,4
3,101,141,18,400,0,557,214,150,183,14
237,840,389,243,33,6,491,492,155,420,13
349,496,390,174,92,105,272,120,28,246,68
101,313,73,194,184,95,164,100,253,168,88
407,240,495,202,283,35,448,192,217,73,65
152,191,367,185,66,94,67,611,105,355,19
64,90,330,10,337,11,235,453,123,246,3
284,492,223,205,243,23,513,300,28,177,40
316,559,63,6,27,53,525,92,293,409,30
28,115,17,181,405,0,76,509,59,94,56
284,492,546,117,243,23,513,570,28,177,40
54,258,491,49,172,90,339,291,26,201,72
287,330,323,178,324,67,532,582,121,151,57
75,753,488,224,344,24,258,393,137,42,28
54,258,491,49,172,115,339,291,153,201,72
155,482,37,34,462,46,133,143,271,312,55
389,27,525,228,209,0,263,0,285,343,74
436,92,503,56,316,78,460,634,198,113,31
370,444,164,240,64,57,464,355,86,306,17
88,448,483,75,62,33,274,384,93,395,23
284,492,546,205,243,23,285,300,28,177,40
25,635,523,214,181,101,565,537,121,192,9
349,27,525,228,209,42,554,445,285,343,74
195,346,372,190,90,102,222,489,233,403,94
349,253,390,174,221,105,272,120,28,246,68
41,231,479,225,124,78,241,537,97,238,37
191,421,521,3,319,30,83,387,182,124,4
328,469,80,61,394,34,283,533,81,377,98
140,247,491,138,310,68,202,303,156,257,79
328,469,366,189,394,34,283,533,81,377,98
22,548,525,46,77,66,162,451,283,262,25
120,482,527,169,134,38,389,284,1,226,92
39,684,353,191,152,41,333,490,133,100,33
291,156,333,6,296,35,195,414,39,31,70
59,364,450,249,112,73,274,553,104,134,41
349,707,522,77,216,111,101,516,237,123,34
191,421,521,3,319,30,83,537,182,124,4
84,24,153,209,199,87,156,580,227,225,0
283,114,303,29,268,65,494,430,223,253,83
261,172,480,179,272,18,37,629,120,56,87
294,349,468,190,454,104,63,503,136,172,52
3,101,165,18,400,0,330,214,258,183,14
54,258,491,49,172,90,339,291,26,201,72
75,813,233,135,380,52,229,319,136,200,67
122,66,122,202,491,84,390,333,74,193,63
122,66,122,202,491,84,390,333,221,193,63
54,258,503,49,172,90,339,291,26,201,72
430,82,474,22,449,101,222,554,75,146,77
322,387,500,12,487,72,62,580,146,313,91
223,778,522,121,33,40,113,532,240,287,60
168,739,2,112,182,94,404,571,229,325,97
85,564,456,84,29,69,5,466,190,237,20
122,66,259,202,491,38,390,333,221,193,63
56,149,385,33,442,23,580,485,47,179,32
211,482,37,24,205,46,239,143,271,312,55
60,411,17,193,1,57,462,336,227,232,62
449,710,209,136,409,13,469,480,284,359,53
17,778,522,197,33,40,113,532,240,287,60
349,496,390,174,221,105,272,120,275,319,68
251,482,244,148,134,38,389,284,56,226,92
407,240,495,158,283,35,424,192,217,73,65
328,469,80,189,327,34,283,533,81,297,98
446,171,303,252,88,31,551,550,190,91,85
84,609,153,209,199,87,156,580,223,225,0
141,574,293,70,388,81,368,30,122,26,45
51,465,115,28,257,107,229,449,30,96,18
299,79,495,8,377,83,512,320,266,69,75
371,483,421,98,161,71,414,499,73,412,99
141,481,219,121,25,114,424,165,75,103,26
276,466,212,230,125,13,97,389,16,157,84
383,725,491,49,172,90,339,291,26,201,72
316,559,63,6,27,16,525,92,293,355,30
320,775,507,120,304,19,424,144,209,312,15
28,115,17,181,115,104,76,509,59,94,56
223,387,437,12,487,72,187,580,146,313,91
3,101,141,18,400,0,330,214,77,304,14
141,481,219,159,395,78,424,165,75,103,26
283,465,303,29,268,65,282,430,223,253,83
428,568,31,13,284,37,484,69,205,276,43
168,648,212,112,43,94,404,571,178,325,97
141,574,293,70,388,25,47,30,122,211,45
22,548,136,97,77,66,162,173,283,262,25
349,101,390,174,89,105,272,120,28,246,68
122,66,122,202,491,38,390,218,87,193,63
417,110,265,188,45,87,140,152,154,278,59
195,197,372,190,90,38,222,317,233,339,94
355,58,0,59,7,42,409,372,279,356,90
284,492,546,205,129,23,21,300,28,177,40
64,90,330,10,337,11,235,453,176,246,3
28,289,17,181,115,3,76,509,59,94,56
39,321,353,191,152,54,333,86,133,100,33
383,58,0,59,395,42,38,372,279,248,90
299,351,495,8,377,83,260,320,266,69,75
54,258,491,49,172,90,339,291,268,201,72
294,562,468,190,145,100,63,503,63,172,52
82,642,424,12,312,16,468,256,275,54,86
140,247,208,138,69,68,235,303,156,257,79
57,66,122,135,491,38,390,333,221,193,63
438,750,124,252,224,73,425,251,199,337,35
30,532,415,211,31,83,351,450,55,151,96
436,481,219,121,395,78,424,165,75,103,26
141,574,293,70,388,25,47,30,122,179,45
140,469,424,189,394,34,283,533,81,377,98
64,90,330,10,337,11,235,453,164,246,3
191,421,176,3,319,1,83,387,182,124,4
51,465,115,28,257,107,400,449,30,96,18
141,481,219,121,395,78,94,165,75,103,26
75,753,331,7,344,24,258,393,180,47,28
39,321,353,191,152,54,333,336,133,100,33
383,640,0,59,395,42,409,372,279,104,90
370,444,164,145,64,92,464,355,86,386,17
188,840,389,118,33,6,367,492,155,420,13
389,117,78,124,386,84,221,110,272,369,27
28,644,17,181,115,0,76,509,59,94,56
438,759,109,252,224,73,425,251,157,337,35
78,364,450,249,112,73,274,85,209,134,41
294,349,305,190,145,100,63,317,136,172,52
261,331,480,179,272,18,37,629,91,56,87
388,364,567,249,112,73,274,85,189,134,41
75,290,233,153,380,52,229,319,167,200,67
155,482,37,24,462,46,239,143,272,312,55
430,232,474,180,366,101,487,554,75,146,77
84,609,153,209,199,87,156,580,241,225,0
383,58,0,59,395,42,409,113,279,356,90
316,559,63,6,27,16,525,92,293,409,30
318,411,17,193,51,15,462,336,227,232,62
299,351,495,8,377,83,512,267,266,300,75
407,240,495,202,283,35,424,140,217,73,65
328,469,80,189,394,99,283,533,81,377,98
88,448,430,75,62,33,274,204,289,395,23
39,321,353,188,152,54,333,490,133,276,33
168,26,537,36,80,16,528,274,167,134,95
10,657,170,137,335,11,41,541,184,250,42
122,66,122,202,491,38,206,599,221,193,63
168,648,2,112,182,94,404,378,178,325,97
64,90,496,10,337,11,235,453,164,246,3
40,27,525,228,209,42,263,445,285,343,74
141,481,219,121,488,78,424,165,75,148,26
28,115,17,181,115,6,76,505,59,94,56
56,818,385,33,442,23,547,407,252,179,32
195,197,161,190,90,102,222,317,233,403,94
291,801,471,15,311,7,20,136,146,50,76
416,432,392,74,264,48,131,149,12,286,39
446,171,480,252,88,7,551,222,190,91,85
328,747,109,213,481,32,391,377,62,223,12
438,750,109,252,67,73,425,251,157,337,35
93,91,392,140,264,48,487,149,12,286,39
3,391,141,18,400,0,330,214,77,183,14
191,421,521,3,374,30,83,387,182,124,4
168,205,2,112,287,94,404,571,178,325,97
30,532,142,53,31,83,351,450,55,151,96
168,648,2,112,182,94,63,224,178,325,97
22,548,136,46,77,66,162,53,283,262,25
82,642,424,12,337,16,8,256,275,98,86
166,771,191,38,482,33,470,438,2,279,44
331,801,471,15,311,7,20,273,146,50,76
328,469,80,189,394,34,95,533,81,377,98
328,469,80,189,465,34,283,533,81,377,98
426,149,385,33,442,23,147,485,252,179,32
151,27,525,228,209,42,263,445,285,343,74
370,444,164,53,64,78,464,355,86,306,17
75,753,488,7,344,24,258,393,137,114,28
417,110,265,188,45,87,140,152,34,213,59
93,771,191,38,482,33,440,438,2,279,44
331,436,471,15,311,7,20,136,146,50,76
365,36,274,22,405,10,560,115,167,267,6
168,231,42,225,124,85,241,537,97,238,37
406,143,55,93,254,69,273,64,33,324,51
59,364,450,226,112,73,274,85,189,134,41
224,195,178,11,273,45,437,626,123,265,21
328,469,80,189,327,34,283,533,81,377,98
195,197,372,158,90,36,222,317,233,403,94
75,753,533,7,344,47,258,393,137,47,28
64,90,452,10,337,28,235,453,164,246,3
75,753,185,7,484,24,258,393,137,47,28
389,391,78,124,370,84,119,110,152,369,27
38,559,548,189,49,115,178,411,230,244,89
191,566,521,3,319,30,513,387,182,124,4
270,686,454,243,423,14,414,130,96,7,8
349,496,390,223,221,105,272,120,252,246,68
416,432,392,140,264,4,304,149,12,286,39
75,215,233,153,380,52,229,319,136,200,67
75,813,233,153,380,52,229,319,136,146,67
217,728,9,17,447,29,10,612,151,278,11
22,548,255,46,77,39,162,173,283,262,25
416,474,392,140,264,48,487,149,12,318,39
155,482,37,24,462,46,239,143,271,375,55
224,309,178,11,273,45,49,626,104,212,21
370,444,164,82,64,92,464,355,240,306,17
291,156,68,6,296,35,439,414,9,31,70
9,603,209,97,418,64,145,574,72,187,71
3,101,112,18,400,0,330,214,220,183,14
299,506,219,121,395,78,424,165,75,103,26
276,465,115,28,257,107,400,449,30,96,18
349,496,390,174,221,105,272,642,28,336,68
51,465,115,28,257,107,407,449,30,96,18
436,92,46,140,316,78,460,634,198,113,31
168,392,537,36,80,16,220,274,167,148,95
284,492,546,205,243,23,513,312,71,177,40
143,421,521,3,319,30,83,387,182,124,4
97,444,164,53,64,92,280,355,86,306,17
111,92,46,2,316,78,460,634,198,113,31
279,707,522,77,216,111,101,557,237,123,34
386,364,447,191,125,66,155,447,251,287,1
237,840,328,118,429,6,576,492,155,420,13
430,232,453,22,449,101,255,554,75,146,77
331,801,471,15,311,54,20,136,146,50,76
270,686,236,243,423,14,274,130,96,7,8
213,612,269,90,170,33,308,163,175,20,38
24,516,398,11,480,105,564,292,23,122,16
284,542,546,205,243,23,513,300,28,177,40
140,376,208,141,310,68,202,303,156,257,79
144,774,420,157,202,92,524,513,57,336,48
430,232,438,22,449,101,487,554,75,146,77
56,149,385,33,442,23,547,485,252,38,32
84,609,153,209,272,87,156,447,227,225,0
224,195,178,11,40,45,49,626,123,21,21
217,648,2,112,182,94,404,571,178,325,97
224,801,471,15,311,7,20,136,146,50,76
299,351,495,8,377,83,512,320,53,69,75
152,191,338,185,66,94,67,352,105,385,19
416,432,392,140,264,48,487,149,12,321,39
181,465,303,29,492,65,494,430,223,253,83
316,559,63,6,27,48,525,92,293,90,30
283,465,303,29,268,65,494,430,150,253,83
455,390,420,157,202,88,524,513,57,336,48
382,58,0,64,395,42,409,372,279,356,90
51,414,115,28,257,107,400,449,30,239,18
446,171,480,252,88,43,551,550,202,328,85
79,778,522,197,223,40,113,532,102,287,60
51,465,115,28,257,74,400,449,30,96,18
291,156,68,6,296,35,472,414,9,31,70
448,331,480,179,272,68,37,629,116,56,87
168,648,250,112,182,94,447,571,178,325,97
315,110,265,188,45,87,140,152,154,213,59
237,840,389,118,33,6,576,84,155,420,13
284,492,371,107,243,23,513,300,28,177,40
261,331,480,203,19,18,37,629,116,56,87
282,342,67,69,319,106,545,111,125,85,7
407,240,276,202,283,35,424,192,217,171,65
339,143,55,93,82,69,273,185,33,8,51
213,791,269,223,170,33,308,163,175,20,38
166,771,534,38,482,33,440,438,2,279,44
349,723,522,77,216,111,101,557,237,123,34
82,207,424,12,103,16,468,256,275,98,86
389,624,80,29,246,3,363,123,119,32,73
349,496,390,174,221,105,176,120,215,246,68
351,198,290,143,0,83,269,152,142,29,64
409,801,471,15,311,7,543,136,146,50,76
168,392,537,36,80,16,576,274,167,289,95
116,66,122,202,491,38,390,333,221,193,63
71,483,421,166,495,71,414,499,73,111,99
351,775,290,143,188,83,269,517,142,29,64
217,501,9,17,447,29,570,612,151,278,11
370,444,392,53,229,92,464,355,86,306,17
140,247,208,54,310,68,202,303,156,257,79
265,299,28,105,373,98,253,91,71,76,46
349,496,390,174,221,105,272,120,39,246,68
237,840,389,118,33,6,576,88,155,420,13
180,66,122,202,491,38,390,333,221,286,63
438,750,109,252,224,73,235,251,157,337,35
389,145,525,228,209,42,263,445,285,343,74
84,609,153,164,199,87,156,580,227,225,0
39,321,353,191,152,54,213,490,133,100,33
173,138,405,232,494,44,308,210,174,31,10
195,197,372,190,90,102,353,317,233,228,94
79,517,269,90,170,33,308,163,175,20,38
416,432,568,178,264,48,487,149,12,286,39
141,481,219,121,395,78,82,165,75,103,26
22,396,136,46,77,66,162,173,283,269,25
305,115,17,223,115,0,76,509,59,94,56
79,778,522,197,33,40,113,532,240,374,60
145,571,44,215,243,7,244,610,18,377,49
406,143,55,93,82,69,273,64,268,216,51
87,195,178,11,45,45,49,626,123,212,21
371,483,421,98,495,71,414,499,73,337,99
416,432,227,140,264,48,487,149,12,286,39
22,750,136,46,77,66,162,138,283,262,25
294,349,591,190,255,100,63,503,136,172,52
383,58,0,59,395,42,336,372,57,356,90
341,466,212,230,241,21,250,389,16,157,84
24,537,398,151,480,105,564,7,83,122,16
56,149,385,33,442,23,547,587,252,329,32
64,90,330,92,337,11,235,453,164,246,3
370,444,164,53,64,92,464,446,86,306,17
331,801,471,15,311,52,20,136,146,50,76
168,648,558,112,182,9,404,571,178,325,97
140,337,408,30,354,72,22,501,94,200,78
152,191,367,185,66,97,67,611,105,385,19
28,115,17,181,115,99,102,509,59,94,56
287,330,323,166,324,67,148,582,121,151,57
328,469,80,20,394,34,283,533,81,377,98
322,387,500,124,99,72,187,580,146,313,91
370,444,164,53,64,92,464,224,86,306,17
446,171,480,252,461,43,551,550,190,91,85
294,349,468,190,145,100,63,503,72,172,52
140,247,61,138,310,68,202,303,156,257,79
141,574,126,159,388,25,47,30,122,26,45
38,559,548,189,49,115,178,411,230,244,89
316,559,63,6,27,101,525,92,293,409,30
28,115,17,181,115,88,76,509,59,94,56
196,364,450,190,112,73,274,85,189,134,41
3,101,141,18,417,0,330,214,77,183,14
282,342,362,68,319,106,545,111,155,85,7
299,351,75,8,377,83,512,191,266,69,75
141,574,293,63,474,25,47,30,122,26,45
64,103,330,10,337,11,235,453,135,246,3
322,387,500,12,487,115,187,580,146,313,91
51,465,115,28,25,107,400,449,30,96,18
56,149,385,33,442,103,547,485,147,179,32
291,156,546,6,296,35,195,414,9,31,70
224,195,178,11,273,45,21,626,123,212,21
244,421,521,3,31,30,83,387,182,124,4
123,840,389,118,33,6,576,492,155,420,13
30,842,123,105,402,49,34,604,219,316,58
9,559,63,233,27,16,525,92,293,409,30
299,351,495,8,377,83,107,320,266,205,75
371,483,421,98,495,71,513,499,73,111,99
84,609,306,209,199,87,156,580,227,225,0
152,191,114,185,66,94,67,611,105,385,19
10,364,450,249,112,73,274,584,189,134,41
430,232,36,22,449,101,487,554,75,146,77
22,130,136,46,77,66,460,173,283,262,25
417,110,265,188,383,87,140,152,154,213,59
54,258,196,49,172,90,339,291,26,201,72
88,208,483,196,62,33,274,204,289,395,23
455,115,17,181,115,0,76,509,293,94,56
82,642,424,227,337,16,468,256,275,98,86
237,840,389,90,33,6,576,492,21,420,13
226,481,219,121,395,78,424,165,75,103,26
276,466,212,230,241,13,569,389,16,157,84
291,483,68,6,316,35,195,414,9,31,70
168,392,324,36,80,16,528,274,167,196,95
337,465,115,28,257,107,400,449,30,96,18
349,496,363,174,105,105,272,120,28,246,68
294,603,209,133,418,64,145,574,72,390,71
365,36,274,131,214,10,560,115,167,267,6
446,171,480,252,88,43,360,550,190,224,85
371,340,421,98,495,71,414,499,133,111,99
39,321,353,191,152,41,333,490,133,100,33
144,708,420,157,202,88,309,513,57,336,48
22,548,104,46,77,53,162,173,283,262,25
438,750,109,252,224,73,425,97,157,337,35
146,496,390,174,145,105,272,120,28,246,68
438,750,333,252,224,73,425,251,157,337,35
349,496,185,174,221,105,272,120,28,246,68
430,232,474,22,392,101,487,554,75,146,77
101,313,73,194,296,95,164,100,253,187,88
56,149,385,33,442,23,439,485,252,179,32
30,842,290,37,426,49,34,83,219,316,58
166,771,191,38,228,33,440,438,2,279,44
56,149,385,33,442,23,547,485,252,179,32
389,521,47,228,209,42,263,445,285,343,74
75,753,488,4,344,24,258,393,137,246,28
223,648,2,112,182,94,404,571,178,51,97
322,387,500,12,487,72,66,580,146,313,91
56,149,344,33,442,23,547,485,252,179,32
446,171,521,252,88,43,551,550,290,91,85
54,258,25,49,435,90,339,291,26,201,72
349,496,390,174,221,105,272,120,28,387,68
168,648,2,112,182,94,404,329,178,325,97
28,115,143,202,115,0,76,509,59,94,56
168,648,2,112,182,94,404,616,178,325,97
370,498,164,53,64,92,464,355,86,306,17
164,240,495,202,283,35,424,192,220,73,65
152,191,367,185,66,94,316,611,105,336,19
191,421,521,3,319,30,83,453,182,124,4
51,465,115,28,292,107,400,449,144,96,18
436,92,46,140,111,78,378,634,198,113,31
370,444,164,53,64,92,464,355,81,306,17
3,101,141,18,400,0,330,214,33,183,14
140,247,208,138,310,68,328,519,156,257,79
451,195,178,11,273,45,49,626,123,212,21
191,421,111,71,319,30,83,387,182,124,4
237,840,389,118,184,6,576,492,3,420,13
195,197,372,190,90,102,222,356,233,403,94
56,149,385,33,442,23,547,96,252,179,32
386,364,447,4,125,66,155,447,251,287,1
54,151,491,49,172,90,339,291,26,201,72
39,321,353,191,152,54,333,490,224,100,33
141,574,293,70,96,25,47,582,122,26,45
383,58,0,59,395,42,409,624,279,356,90
349,707,522,77,216,111,101,73,237,123,34
41,231,42,225,124,80,241,537,97,238,37
75,431,488,7,344,24,258,393,137,47,28
224,195,480,11,273,45,49,626,123,212,21
224,195,178,11,273,45,411,626,123,52,21
152,229,367,185,66,94,67,611,105,385,19
155,277,37,24,42,46,239,143,271,312,55
59,364,450,249,112,73,406,85,67,134,41
142,473,50,216,251,107,157,481,39,411,93
168,25,2,197,182,94,404,571,178,325,97
150,492,416,104,93,49,361,377,41,154,5
351,775,26,143,0,83,269,517,142,29,64
150,187,416,104,85,115,361,377,41,154,5
328,469,80,189,394,34,448,533,81,377,98
88,448,168,75,62,33,274,204,289,395,23
351,775,290,143,0,83,269,517,142,29,64
331,801,169,15,311,26,20,136,146,50,76
39,321,7,191,152,54,333,225,133,100,33
371,483,323,98,495,71,414,499,73,111,99
283,465,303,29,448,65,494,430,169,253,83
59,364,450,249,161,73,274,85,189,134,41
56,149,85,48,442,23,547,485,252,179,32
331,801,471,15,311,7,20,136,146,328,76
365,801,87,15,311,7,20,136,146,50,76
150,388,416,104,93,115,361,222,41,154,5
276,466,212,230,241,13,250,389,16,157,84
122,66,122,7,491,38,390,333,221,193,63
251,482,133,169,134,71,389,284,1,226,92
365,36,408,131,214,10,560,115,167,267,6
24,516,398,11,480,103,564,7,83,38,16
152,191,367,185,66,94,292,611,69,385,19
291,156,68,6,70,35,195,600,9,31,70
276,466,212,230,241,13,250,293,16,157,84
407,240,495,202,283,35,424,590,217,73,65
41,231,23,225,124,80,241,537,97,238,37
446,171,480,41,88,43,551,550,190,91,85
191,32,521,3,319,30,83,387,182,124,4
317,432,392,140,264,48,487,149,12,286,39
372,90,330,10,337,11,235,453,164,246,3
270,686,236,145,423,14,13,130,96,7,8
56,149,385,33,69,23,547,485,252,179,32
59,364,450,64,112,73,274,85,189,134,41
409,321,372,191,152,54,333,490,133,100,33
231,321,353,191,152,54,333,98,133,100,33
25,635,202,214,181,101,565,537,121,380,9
181,648,2,112,182,94,404,571,178,325,97
389,117,78,124,386,84,119,226,152,369,27
349,496,390,174,221,7,272,120,28,246,68
84,609,153,209,417,87,156,580,227,225,0
82,642,424,12,337,16,468,256,275,98,86
284,492,271,205,243,23,513,300,28,386,40
383,58,0,59,395,42,409,238,279,356,90
308,143,55,93,82,69,162,64,33,8,51
370,299,28,105,373,98,253,145,129,76,46
383,58,0,59,417,42,409,372,279,356,90
122,66,122,202,491,51,390,333,221,193,63
386,731,106,73,125,66,155,447,251,287,1
82,642,424,12,337,16,156,256,275,98,86
322,100,500,12,487,72,187,580,146,142,91
283,465,303,29,268,111,494,430,223,253,83
39,321,353,191,152,54,333,490,133,39,33
25,609,153,209,199,87,156,580,227,225,0
28,115,20,181,115,0,76,509,59,94,56
2,778,522,162,33,40,113,532,240,287,60
41,231,42,225,124,80,241,537,90,320,37
316,559,63,6,27,16,525,92,293,206,30
56,149,385,33,442,23,371,485,252,0,32
195,389,372,190,52,102,222,317,233,403,94
251,482,244,169,134,38,389,309,1,226,92
416,16,392,140,264,48,487,149,12,286,39
51,465,115,28,257,107,560,449,119,96,18
416,432,392,140,223,48,487,149,12,286,39
144,149,385,191,442,23,547,485,252,179,32
331,801,451,94,311,7,20,136,146,50,76
237,840,419,118,33,6,576,431,155,420,13
316,382,63,6,27,16,525,92,194,409,30
51,465,115,28,40,107,27,449,30,96,18
84,609,153,209,199,87,156,580,227,225,0
359,495,218,21,253,114,452,351,219,80,50
299,351,516,8,377,83,512,320,266,69,75
276,137,212,57,241,13,250,389,16,157,84
28,115,568,181,115,0,30,509,59,94,56
416,432,392,140,264,48,487,149,12,286,39
141,481,219,121,395,95,424,303,75,103,26
107,364,450,249,112,73,274,85,189,134,41
141,481,219,121,395,78,108,165,75,103,26
141,481,219,121,328,26,424,165,75,103,26
397,612,269,38,170,33,308,163,175,20,38
386,364,447,73,125,66,176,447,251,287,1
173,370,216,189,494,44,308,210,174,7,10
9,603,209,133,418,64,145,377,72,39,71
237,623,389,6,33,6,576,492,155,420,13
350,171,480,120,88,43,551,550,190,91,85
436,92,46,140,13,78,460,634,198,113,31
5,27,525,228,209,42,263,445,170,343,74
438,750,109,252,224,73,425,510,159,337,35
347,448,483,75,62,33,274,204,289,395,23
404,684,355,64,18,86,243,10,139,267,24
282,342,67,199,319,106,429,111,155,85,7
88,448,483,75,62,33,274,204,289,73,23
41,456,42,222,124,80,241,537,97,238,37
281,642,424,12,337,16,468,256,275,98,86
82,642,424,12,337,16,468,256,78,98,86
140,247,208,138,310,68,202,375,156,257,79
419,735,590,162,134,104,170,114,11,95,66
270,639,236,243,423,14,13,130,96,7,8
416,432,392,140,264,48,487,153,12,286,39
349,707,522,77,216,109,101,557,237,123,34
225,59,242,177,78,56,198,449,259,293,29
41,471,42,225,111,80,241,537,97,238,37
82,642,424,12,288,16,468,256,275,98,86
166,771,93,38,482,33,440,438,2,279,44
328,469,523,189,394,34,283,533,81,377,98
28,115,441,94,115,0,76,509,59,94,56
430,232,474,22,449,63,487,554,75,146,77
406,143,55,93,82,69,212,64,33,8,51
430,685,474,22,449,101,487,554,75,146,77
389,624,80,29,276,6,363,123,24,29,73
237,840,389,63,33,6,576,492,222,420,13
82,642,525,12,337,108,468,256,275,98,86
331,715,471,15,311,7,20,136,146,50,76
64,90,330,10,337,11,235,381,164,246,3
9,603,209,133,418,44,145,574,72,390,71
349,496,268,174,221,82,272,120,28,246,68
84,609,153,226,199,87,156,580,200,225,0
436,92,46,140,316,78,460,634,104,113,31
54,258,491,49,228,39,339,291,26,201,72
251,482,227,169,134,38,389,284,1,11,92
446,171,480,252,88,43,551,550,190,333,85
294,349,468,190,96,100,63,503,136,30,52
141,481,219,121,395,78,424,506,75,103,26
75,813,233,153,2,52,139,319,136,200,67
436,92,46,140,316,78,460,634,198,109,31
370,444,408,53,64,49,464,355,86,306,17
25,635,523,214,181,101,565,67,128,380,9
9,603,209,133,418,64,145,574,72,84,71
144,774,420,157,350,88,524,513,57,336,48
389,624,15,29,276,6,363,123,119,32,73
299,351,495,8,377,83,512,320,266,120,75
274,574,293,119,388,25,47,30,122,26,45
119,59,543,177,78,61,198,449,98,293,29
150,388,416,104,93,115,361,377,41,11,5
328,469,80,189,394,34,407,533,81,377,98
75,753,488,7,344,24,258,393,137,51,28
316,559,63,6,27,16,525,92,293,409,30
122,66,122,215,160,38,390,333,221,193,63
282,342,32,199,319,106,545,111,155,85,7
122,66,122,202,491,38,390,168,85,193,63
141,574,293,70,388,25,130,30,4,26,45
191,421,521,3,311,26,83,387,182,124,4
224,195,178,11,273,45,49,626,131,212,21
150,388,416,104,93,115,361,377,245,154,5
122,66,122,229,491,38,262,333,221,193,63
284,361,546,205,243,23,513,300,28,387,40
430,740,474,22,449,101,565,554,75,146,77
349,496,390,174,207,105,272,120,28,246,68
286,496,390,174,221,105,272,120,28,246,68
141,364,293,70,388,25,297,30,122,26,45
416,432,392,140,264,48,487,1,130,286,39
54,258,491,49,172,90,339,363,26,201,72
416,243,392,140,264,48,487,149,260,286,39
38,559,548,189,49,115,178,411,91,244,89
270,686,236,243,423,14,13,130,96,399,8
56,149,385,33,442,23,547,485,232,179,32
375,324,109,252,224,73,425,251,157,337,35
340,501,9,17,424,29,570,612,151,278,11
284,492,546,205,407,23,513,300,28,177,40
407,240,495,202,283,35,424,192,217,345,65
75,753,488,7,344,104,258,393,137,47,28
351,775,290,37,0,83,269,517,142,29,64
79,778,522,197,33,40,113,532,240,289,60
237,840,389,118,33,77,187,492,155,420,13
282,342,230,26,319,106,545,111,155,85,7
322,387,500,12,63,72,476,580,146,313,91
213,612,517,90,170,33,308,163,175,20,38
283,465,303,29,268,65,494,273,74,253,83
39,321,353,191,152,54,333,345,133,100,33
446,171,480,252,88,68,551,550,190,91,85
283,465,20,29,268,65,494,430,223,253,83
430,232,474,22,486,101,487,554,75,146,77
294,349,468,227,146,100,63,503,136,172,52
276,466,212,230,241,13,250,389,191,157,84
56,149,385,33,442,23,547,485,225,179,32
430,232,474,22,449,101,515,554,75,99,77
64,90,330,10,337,66,235,453,164,246,3
456,579,269,90,170,33,308,163,175,20,38
407,240,495,230,283,35,424,192,217,73,65
270,686,236,243,274,14,13,130,96,7,8
59,152,450,249,112,73,274,85,151,134,41
121,364,447,73,125,66,155,447,251,201,1
328,469,158,189,394,34,283,533,81,377,98
416,432,392,140,264,48,487,149,12,373,39
64,90,330,10,337,11,235,453,263,246,3
383,58,0,61,395,42,409,583,279,356,90
430,735,590,162,134,103,170,612,11,95,66
371,483,421,97,308,71,414,499,73,111,99
